Period,Marriages_or_Divorces ,Count
2005,Marriages,20718
2006,Marriages,21798
2007,Marriages,21810
2008,Marriages,22275
2009,Marriages,21939
2010,Marriages,21213
2011,Marriages,20532
2012,Marriages,20823
2013,Marriages,19425
2014,Marriages,20175
2015,Marriages,19947
2016,Marriages,20235
2017,Marriages,20685
2018,Marriages,20949
2019,Marriages,19071
2020,Marriages,16779
2005,Divorces,9972
2006,Divorces,10065
2007,Divorces,9651
2008,Divorces,9720
2009,Divorces,8754
2010,Divorces,8901
2011,Divorces,8583
2012,Divorces,8826
2013,Divorces,8319
2014,Divorces,8232
2015,Divorces,8520
2016,Divorces,8169
2017,Divorces,8001
2018,Divorces,7455
2019,Divorces,8388
2020,Divorces,7707
